Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Central and Southern Asia,urban,Drinking water,2010,31.38406,187093947.27383,Basic service
sdg,Central and Southern Asia,total,Drinking water,2011,32.26136,589047625.68094,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2011,32.70825,397206414.16573,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2011,31.37382,191841235.45803,Basic service
sdg,Central and Southern Asia,total,Drinking water,2012,31.65756,586197978.95309,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2012,31.95053,391334364.83794,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2012,31.08514,194863594.93397,Basic service
sdg,Central and Southern Asia,total,Drinking water,2013,31.05233,582811333.08944,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2013,31.18355,384933304.41343,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2013,30.80021,197878030.58265,Basic service
sdg,Central and Southern Asia,total,Drinking water,2014,30.43151,578756935.72916,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2014,30.40122,378000049.53671,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2014,30.4887,200756926.41682,Basic service
sdg,Central and Southern Asia,total,Drinking water,2015,29.7889,573831577.6123,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2015,29.60423,370505230.58353,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2015,30.1314,203326349.06251,Basic service
sdg,Central and Southern Asia,total,Drinking water,2016,29.16262,568823637.57814,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2016,28.7956,362610939.17341,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2016,29.83122,206212706.80023,Basic service
sdg,Central and Southern Asia,total,Drinking water,2017,28.55029,563785984.86211,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2017,27.97097,354322494.574,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2017,29.58685,209463485.69798,Basic service
sdg,Central and Southern Asia,total,Drinking water,2018,27.94789,558529270.51626,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2018,27.14702,345737102.61961,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2018,29.35494,212792150.31439,Basic service
sdg,Central and Southern Asia,total,Drinking water,2019,27.35026,552901777.88863,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2019,26.31114,336681031.27419,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2019,29.1424,216220743.70807,Basic service
sdg,Central and Southern Asia,total,Drinking water,2020,26.76207,547108274.95998,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2020,25.46428,327254396.03101,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2020,28.95894,219853901.61084,Basic service
sdg,Central and Southern Asia,total,Drinking water,2021,26.17805,540668350.70305,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2021,24.60906,317250137.23819,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2021,28.78395,223418263.41049,Basic service
sdg,Central and Southern Asia,total,Drinking water,2022,25.79029,537621586.52337,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2022,23.93725,309174697.75229,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2022,28.8313,228627804.66701,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2000,12.36534,249456759.04003,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2000,15.58712,127831326.04577,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2001,12.30993,250446968.66437,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2001,15.65902,132751588.50537,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2002,12.40383,254519181.26479,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2002,15.48487,135901370.00867,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2003,12.58711,260311475.70608,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2003,15.55618,141180350.49497,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2004,12.76743,266073117.67905,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2004,15.62719,146547618.06378,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2005,12.93593,271643680.03474,Basic service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2005,15.69878,152008366.55849,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2006,13.10207,277244822.49404,Basic service
